ID,Word 1,Word 2,Lemma,Lexical Frequency,Phonemes 1,Phonemes 2,No. phonemes,No. syllables,No. graphemes,Gender,Person,Number (possessor),Number (possessee)
1,ma,haleine,haleine,21.82,ma,a.lɛn,6,3,9,feminine,1,singular,singular
2,ma,coutume,coutume,17.03,ma,ku.tym ,7,3,9,feminine,1,singular,singular
3,ma,version,version,11.01,ma,vɛʁ.sjɔ̃,8,3,9,feminine,1,singular,singular
4,ma,sirène,sirène,10.34,ma,si.ʁɛn,7,3,8,feminine,1,singular,singular
5,ma,vedette,vedette,13.92,ma,və.dɛt,7,3,9,feminine,1,singular,singular
6,ma,poule,poule,16.69,ma,pul ,5,2,7,feminine,1,singular,singular
7,ma,station,station,17.97,ma,sta.sjɔ̃,8,3,9,feminine,1,singular,singular
8,ma,fuite,fuite,31.82,ma,fɥit,6,2,7,feminine,1,singular,singular
9,ma,rivière,rivière,36.49,ma,ʁi.vjɛʁ,8,3,9,feminine,1,singular,singular
10,ma,cantine,cantine,10.61,ma,kɑ̃.tin,7,3,9,feminine,1,singular,singular
11,ma,servante,servante,12.3,ma,sɛʁ.vɑ̃t,8,3,10,feminine,1,singular,singular
12,ma,grotte,grotte,17.84,ma,ɡʁɔt,6,2,8,feminine,1,singular,singular
13,ma,galerie,galerie,21.22,ma,ɡal.ʁi,8,3,9,feminine,1,singular,singular
14,ma,grandeur,grandeur,26.49,ma,ɡʁɑ̃.dœʁ,8,3,10,feminine,1,singular,singular
15,ma,fosse,fosse,10.74,ma,fos,5,2,7,feminine,1,singular,singular
16,ma,trêve,trêve,11.15,ma,tʁɛv,6,2,7,feminine,1,singular,singular
17,ma,méthode,méthode,16.42,ma,me.tɔd,7,3,9,feminine,1,singular,singular
18,ma,fonction,fonction,21.76,ma,fɔ̃k.sjɔ̃,8,3,10,feminine,1,singular,singular
19,ma,toilette,toilette,32.3,ma,twa.lɛt,8,3,10,feminine,1,singular,singular
20,ma,rivière,rivière,36.49,ma,ʁi.vjɛʁ,8,3,9,feminine,1,singular,singular
21,ta,moue,moue,17.43,ta,mu ,4,2,6,feminine,2,singular,singular
22,ta,source,source,35.41,ta,suʁs,6,2,8,feminine,2,singular,singular
23,ta,cellule,cellule,35.34,ta,se.lyl,7,3,9,feminine,2,singular,singular
24,ta,noblesse,noblesse,12.43,ta,nɔ.blɛs ,8,3,10,feminine,2,singular,singular
25,ta,conquête,conquête,10.88,ta,kɔ̃.kɛt ,7,3,10,feminine,2,singular,singular
26,ta,buée,buée,13.11,ta,bɥe ,5,2,6,feminine,2,singular,singular
27,ta,bougie,bougie,16.22,ta,bu.ʒi,6,3,8,feminine,2,singular,singular
28,ta,lame,lame,25.81,ta,lam ,5,2,6,feminine,2,singular,singular
29,ta,boutique,boutique,36.01,ta,bu.tik,7,3,10,feminine,2,singular,singular
30,ta,horreur,horreur,61.35,ta,ɔ.ʁœʁ,6,3,9,feminine,2,singular,singular
31,ta,croupe,croupe,10.95,ta,kʁup,6,2,8,feminine,2,singular,singular
32,ta,pelouse,pelouse,12.97,ta,pə.luz,7,3,9,feminine,2,singular,singular
33,ta,lenteur,lenteur,21.96,ta,lɑ̃.tœʁ,7,3,9,feminine,2,singular,singular
34,ta,colère,colère,92.77,ta,kɔ.lɛʁ,7,3,8,feminine,2,singular,singular
35,ta,panne,panne,10.81,ta,pan ,5,2,7,feminine,2,singular,singular
36,ta,tension,tension,14.93,ta,tɑ̃.sjɔ̃,7,3,9,feminine,2,singular,singular
37,ta,humeur,humeur,52.57,ta,y.mœʁ ,6,3,8,feminine,2,singular,singular
38,ta,moquette,moquette,14.73,ta,mɔ.kɛt ,7,3,10,feminine,2,singular,singular
39,ta,fourrure,fourrure,16.89,ta,fu.ʁyʁ,7,3,10,feminine,2,singular,singular
40,ta,chanson,chanson,26.15,ta,ʃɑ̃.sɔ̃,6,3,9,feminine,2,singular,singular
