Position,Phrase,Condition,RT,Duration
0,ma galerie,n,631,574
1,il écrivait,v,567,630
2,elle fît,v,441,443
3,elles meurent,v,507,410
4,sa province,n,573,614
5,ton humeur,n,516,470
6,ton horreur,n,521,464
7,ta moue,n,558,378
8,vous appelez,v,478,722
9,il étendait,v,493,739
10,votre ordure,n,612,543
11,leurs injures,n,504,627
12,vous venez,v,661,490
13,votre collègue,n,626,678
14,tu ignorais,v,575,528
15,tu promets,v,478,607
16,ma grandeur,n,514,583
17,je propose,v,503,803
18,leurs poutres,n,555,578
19,ma fonction,n,476,614
20,leurs pluies,n,495,457
21,votre foudre,n,606,696
22,sa tendance,n,629,673
23,son dessin,n,415,696
24,il pleut,v,571,377
25,tu tais,v,534,284
26,sa fente,n,417,690
27,leurs cousins,n,548,599
28,votre ampoule,n,547,710
29,sa santé,n,481,689
30,ma rivière,n,494,534
31,son champion,n,477,696
32,tu restais,v,489,529
33,il ramassa,v,483,611
34,elles arrêtent,v,522,556
35,elles feront,v,535,526
36,il marcher,v,540,535
37,son savon,n,412,623
38,son meurtre,n,390,543
39,ma sirène,n,482,482
40,elle impose,v,510,575
41,leurs courses,n,548,518
42,ma fosse,n,498,497
43,vous verrez,v,613,441
44,elle tirait,v,513,556
45,ma grotte,n,482,452
46,votre audace,n,506,717
47,elle bat,v,456,393
48,tu voyais,v,446,557
49,elle dépend,v,500,556
50,son membre,n,408,678
51,vous devez,v,595,512
52,je dégage,v,566,620
53,sa vigueur,n,388,621
54,votre concert,n,482,666
55,sa façade,n,552,506
56,elle arracha,v,532,524
57,son âne,n,434,604
58,elle éteignit,v,479,560
59,votre tumulte,n,586,740
60,ma fuite,n,481,529
61,leurs caisses,n,494,537
62,sa cage,n,507,587
63,je salue,v,478,537
64,il emporte,v,460,709
65,ta colère,n,462,491
66,votre usage,n,567,639
67,tu dors,v,449,370
68,votre virginie,n,483,832
69,elle faillit,v,459,561
70,son hangar,n,502,622
71,ma trêve,n,478,612
72,elle cessa,v,499,598
73,sa légion,n,555,538
74,ta panne,n,444,496
75,tu réponds,v,477,540
76,elle fout,v,556,374
77,ta chanson,n,468,600
78,ma vedette,n,453,638
79,ma toilette,n,457,603
80,sa coiffure,n,539,611
81,ma poule,n,420,471
82,sa pénombre,n,443,739
83,il entra,v,472,510
84,il retrouva,v,466,660
85,elles vivent,v,417,522
86,vous regardez,v,614,593
87,ta lenteur,n,600,580
88,je soulève,v,442,634
89,je dessine,v,501,601
90,votre berceau,n,502,746
91,sa crise,n,450,700
92,vous devriez,v,530,645
93,son relief,n,450,682
94,leurs touffes,v,465,407
95,ma version,n,468,669
96,vous pourriez,v,521,572
97,elles virent,v,493,500
98,vous oubliez,v,545,645
99,ta bougie,n,492,518
100,elles jouent,v,449,449
101,tu devrais,v,596,408
102,tu vivais,v,505,465
103,ma méthode,n,440,679
104,leurs hauteurs,n,424,770
105,il portait,v,452,534
106,vous parlez,v,502,464
107,je sonne,v,468,593
108,elle tint,v,486,482
109,tu sors,v,512,500
110,son lot,n,408,574
111,elle prétend,v,450,596
112,sa modestie,n,435,754
113,elles suivent,v,503,623
114,je pardonne,v,495,623
115,votre gravier,n,433,903
116,ma cantine,n,715,698
117,ta fourrure,n,623,550
118,elles laissée,v,527,714
119,son serpent,n,477,674
120,sa chaleur,n,555,514
121,je concerne,v,456,802
122,son carnet,n,431,695
123,ma station,n,477,677
124,je trouvai,v,524,581
125,ma servante,n,412,822
126,votre peintre,n,415,802
127,tu reviens,v,422,467
128,elles parlent,v,384,628
129,ta croupe,n,462,581
130,il écrase,v,541,679
131,tu espérais,v,556,693
132,votre ardeur,n,570,718
133,sa plage,n,555,558
134,elles forment,v,424,702
135,son manteau,n,457,734
136,vous pourrez,v,461,616
137,sa caserne,n,401,800
138,tu faisais,v,473,580
139,son hall,n,406,735
140,son patron,n,427,657
141,vous aimez,v,437,603
142,elles allèrent,v,476,588
143,il détourna,v,459,729
144,il lança,v,693,611
145,leurs mouettes,n,394,774
146,elles puissent,v,527,679
147,mon haleine,n,482,653
148,il agite,v,613,671
149,ta source,n,425,534
150,votre fouet,n,563,710
151,ma rivière,n,456,596
152,leurs grains,n,519,506
153,leurs châteaux,n,430,583
154,tu parles,v,424,474
155,je préfère,v,518,592
156,ta boutique,n,498,567
157,vous trouvez,v,464,596
158,il reconnut,v,477,588
159,vous ferez,v,488,566
160,elle montra,v,437,604
161,ma coutume,n,465,620
162,je préfère,v,503,628
163,sa poire,n,358,544
164,leurs peintres,n,438,661
165,leurs routes,n,412,563
166,vous laissez,v,469,678
167,votre poème,n,444,827
168,tu écoutais,v,421,662
169,sa réponse,n,493,678
170,elle essaya,v,433,653
171,son accueil,n,459,716
172,son ballon,n,392,619
173,elle essuya,v,628,638
174,ta cellule,n,521,620
175,ta pelouse,n,433,571
176,tu aimerais,v,453,502
177,elles feraient,v,534,514
178,ta buée,n,493,488
179,je décidai,v,542,641
180,je dérange,v,506,665
181,il exige,v,478,604
182,il appuie,v,457,470
183,elle arrêta,v,446,564
184,ta conquête,n,521,699
185,votre cendrier,n,513,869
186,leurs scènes,n,522,604
187,ta moquette,n,618,640
188,elle jaillit,v,494,522
189,votre diamant,n,523,688
190,leurs chants,n,435,544
191,je regrette,v,461,611
192,ta noblesse,n,497,669
193,son taureau,n,457,594
194,elle rendait,v,493,571
195,votre litre,n,541,658
196,leurs ciseaux,n,453,600
197,je demandai,v,409,776
198,sa flèche,n,408,717
199,vous donnez,n,450,474
200,il crut,v,436,424
201,vous écoutez,v,427,631
202,il désirait,v,392,698
203,vous attendez,v,566,644
204,elle perd,v,402,518
205,je secoue,v,460,522
206,elles servent,v,471,652
207,elles sortent,v,413,641
208,elles dorment,v,397,628
209,vous restez,v,462,539
210,elles savent,v,495,635
211,leurs soeurs,n,460,526
212,tu irais,v,487,451
213,son four,n,417,597
214,leurs bouquins,n,457,565
215,je respire,v,529,668
216,sa division,n,461,686
217,je fonce,v,539,612
218,il partit,v,415,630
219,tu essayais,v,465,584
220,elles firent,v,468,520
221,tu devais,v,422,488
222,tu dirais,v,451,475
223,votre alliance,n,454,822
224,vous imaginez,v,458,745
225,il parut,v,439,445
226,leurs miettes,n,502,532
227,elles tiraient,v,444,465
228,elles tombent,v,554,571
229,vous direz,v,511,460
230,je pourrai,v,499,570
231,ta tension,n,593,596
232,je ferai,v,508,514
233,leurs cendres,n,490,637
234,elle emmène,v,467,564
235,ta lame,n,459,428
236,sa tribu,n,406,624
237,son prêtre,n,460,604
238,son chou,n,511,408
239,votre usure,n,477,669
